"line","frequency","term_1","term_2","prediction"
"2339",39,"1836","when","lafayett"
"2340",39,"1837","three","men"
"2341",41,"184","can","claim"
"2342",31,"184","stoke","newington"
"2343",36,"185","post","an"
"2344",46,"185","pound","4star"
"2345",43,"1850","a","a"
"2346",40,"186","run","to"
"2348",21,"1862","the","bill"
"2352",48,"1889","in","a"
"2355",44,"18th","lami","pu"
"2357",44,"18th","shamawan","21st"
"2358",33,"18th","tee","for"
"2362",39,"19","and","joseph"
"2365",31,"19","game","last"
"2368",26,"19","point","and"
"2371",41,"19","stu","banga"
"2372",31,"19","turnov","even"
"2373",25,"19","year","we"
"2374",20,"1900","1054","9"
"2376",27,"1900","pdt","san"
"2377",37,"1907","but","radio"
"2378",25,"1908","mcclellan","had"
"2379",40,"1913","raker","act"
"2381",23,"1920","in","the"
"2387",30,"1925","in","new"
"2388",46,"1925","ziegfeld","revu"
"2390",38,"1928","per","hour"
"2391",46,"1930","he","was"
"2392",23,"1930","he","was"
"2393",25,"1930","hi","apt"
"2394",37,"1930","just","like"
"2396",32,"1931","through","1954"
"2398",46,"1932","he","form"
"2399",29,"19351","instead","and"
"2401",32,"1940","and","later"
"2402",22,"1942","and","remain"
"2408",30,"1948","and","enter"
"2413",23,"1950","detroit","was"
"2416",35,"1950","and","1960s"
"2418",34,"1950","who","can"
"2423",30,"1953","div","1957"
"2424",32,"1954","gunther","must"
"2425",21,"1955","kansa","christen"
"2428",34,"1957","when","he"
"2430",24,"1960","whi","are"
"2431",32,"1960","and","her"
"2432",35,"1960","ar","long"
"2435",36,"1962","you","could"
"2448",28,"1965","new","york"
"2452",28,"1966","sourc","item"
"2458",49,"1967","to","1970"
"2468",45,"1970","and","it"
"2469",49,"1970","hollington","said"
"2470",24,"1970","in","just"
"2473",43,"1970²","work","of"
"2476",44,"1970","disabl","law"
"2479",39,"1970","other","econom"
"2481",41,"1971","the","averag"
"2483",31,"1973","of","turn"
"2491",32,"1979","dure","the"
"2493",43,"1980²","neoliber","this"
"2494",21,"1980","and","1990s"
"2496",31,"1980","the","green"
"2497",28,"1981","read","all"
"2498",35,"198286","zach","krall"
"2501",58,"1984","i","never"
"2503",30,"1984","olymp","in"
"2504",40,"1984","she","is"
"2508",23,"1987","debut","album"
"2510",23,"1987","think","the"
"2516",39,"199","point","44"
