"line","frequency","term_1","term_2","term_2","prediction"
"2090",22,"15th","at","bristol","and"
"2093",44,"15th","king","john","castl"
"2094",41,"15year","rate","drop","to"
"2095",36,"15yearold","girl","unrel","to"
"2102",37,"16","game","at","2"
"2103",30,"16","grandchildren","it","i"
"2104",21,"16","i","the","dai"
"2110",25,"16","time","in","28"
"2112",41,"16","to","june","6"
"2114",51,"16","wisconsin","face","syracu"
"2115",41,"16","year","of","appreci"
"2117",44,"161","i","might","be"
"2119",38,"160","million","biotechnolog","build"
"2121",33,"162","074","in","total"
"2125",46,"163","over","player","in"
"2126",28,"16316683781","the","area","i"
"2129",26,"166","for","home","assess"
"2130",31,"1666","market","st","near"
"2135",53,"16th","stop","by","and"
"2136",41,"16yearold","femal","and","a"
"2145",52,"17","eurozon","nation","ar"
"2147",25,"17","had","five","or"
"2148",43,"17","i","not","associ"
"2149",44,"17","i","undergo","rehabilit"
"2150",31,"17","million","for","hospit"
"2160",37,"17","year","mission","for"
"2161",25,"1700","replant","had","not"
"2162",33,"170252005","accredit","test","laboratori"
"2163",27,"175","000","in","a"
"2164",33,"175","or","so","children"
"2167",39,"176","run","that","cut"
"2168",20,"1763","","williamson","plant"
"2171",65,"17th","c","protest","homunculu"
"2173",26,"17th","chine","communist","parti"
"2174",35,"17th","of","june","which"
"2175",34,"17th","presid","of","the"
"2176",39,"17yearold","buckei","resid","jonathan"
"2180",42,"18wheeler","mani","of","which"
"2182",43,"18","addit","offic","mai"
"2184",37,"18","and","june","1"
"2185",39,"18","both","of","buckey"
"2186",43,"18","cent","to","20"
"2187",31,"18","fabul","techniqu","and"
"2188",20,"18","for","instanc","i"
"2189",26,"18","hole","than","i"
"2191",34,"18","later","thi","month"
"2194",32,"18","month","he","i"
"2197",41,"18","st","paul","episcop"
"2198",44,"18","wa","relea","from"
"2204",36,"1801","countri","acr","dr"
"2207",39,"1836","when","lafayett","counti"
"2208",39,"1837","three","men","purcha"
"2209",41,"184","can","claim","the"
"2210",31,"184","stoke","newington","church"
"2211",36,"185","post","an","085"
"2212",46,"185","pound","4star","rate"
"2213",43,"1850","a","a","labor"
"2214",40,"186","run","to","all"
"2216",21,"1862","the","bill","for"
"2219",48,"1889","in","a","parisian"
"2222",44,"18th","lami","pu","bef"
"2224",44,"18th","shamawan","21st","clan"
"2225",33,"18th","tee","for","the"
"2229",39,"19","and","joseph","metcalf"
"2232",31,"19","game","last","season"
"2235",26,"19","point","and","destini"
"2239",31,"19","turnov","even","a"
"2240",25,"19","year","we","ar"
"2241",20,"1900","1054","9","og"
"2243",27,"1900","pdt","san","diego"
"2244",37,"1907","but","radio","wouldn"
"2245",25,"1908","mcclellan","had","hi"
"2246",40,"1913","raker","act","san"
"2248",23,"1920","in","the","1930"
"2254",30,"1925","in","new","york"
"2255",46,"1925","ziegfeld","revu","no"
"2257",38,"1928","per","hour","by"
"2258",46,"1930","he","wa","an"
"2259",23,"1930","he","wa","on"
"2260",25,"1930","hi","apt","appeal"
"2261",37,"1930","just","like","in"
"2263",32,"1931","through","1954","gunther"
"2265",46,"1932","he","form","a"
