"line","frequency","Term"
"1070",38,"1977"
"1072",39,"1979"
"1074",43,"1980²"
"1075",67,"1980"
"1076",65,"1981"
"1077",35,"198286"
"1079",206,"1984"
"1080",20,"1986"
"1081",62,"1987"
"1083",21,"1989"
"1084",39,"199"
"1085",178,"1990"
"1086",111,"1990"
"1087",91,"1991"
"1088",117,"1992"
"1090",98,"1993"
"1091",46,"1994"
"1093",119,"1995"
"1094",43,"1996"
"1095",112,"1997"
"1096",122,"1998"
"1097",108,"1999"
"1098",125,"19th"
"1099",39,"19yearold"
"1102",51,"1pm"
"1103",458,"1st"
"1109",55,"26"
"1110",33,"2yearold"
"1111",32,"22312"
"1112",55,"23"
"1114",50,"20"
"1115",72,"20"
"1116",269,"200"
"1117",159,"2000"
"1118",38,"200007"
"1119",147,"2001"
"1120",190,"2002"
"1121",197,"2003"
"1122",249,"2004"
"1123",368,"2005"
"1126",25,"2005a"
"1127",233,"2006"
"1128",268,"2007"
"1129",793,"2008"
"1131",502,"2009"
"1134",44,"200gb"
"1135",30,"200gigabyt"
"1137",1049,"2010"
"1138",43,"201011"
"1139",866,"2011"
"1140",32,"20112012"
"1141",652,"2012"
"1143",46,"2013"
"1144",38,"201314"
"1147",22,"201415"
"1149",37,"2016"
"1152",38,"2020"
"1153",46,"2030"
"1154",41,"20304"
"1156",33,"205"
"1158",24,"2064141039"
"1161",68,"20f"
"1162",29,"20gallon"
"1164",51,"20lb"
"1165",41,"20monthold"
"1166",35,"20pm"
"1168",41,"20show"
"1169",82,"20th"
"1170",64,"20yearold"
"1171",91,"210"
"1172",38,"212"
"1173",31,"2122657150"
"1175",35,"213"
"1177",40,"215"
"1179",44,"216"
"1181",41,"218"
"1182",31,"219th"
"1184",215,"21st"
"1185",44,"21yearold"
"1186",20,"2226"
"1187",83,"220"
"1188",24,"221"
"1190",35,"224"
"1191",34,"225"
"1194",27,"2263372"
"1195",27,"2263422"
"1198",31,"227th"
"1199",243,"22nd"
"1201",55,"232"
"1202",36,"234897"
"1204",37,"235"
"1205",32,"2355"
"1206",38,"235ounc"
"1207",31,"23781"
"1209",37,"239"
"1210",44,"23rd"
"1211",31,"23yearold"
"1212",27,"247"
"1213",45,"240"
"1216",24,"2424"
"1221",30,"249"
"1224",36,"24liter"
"1227",106,"24th"
"1230",72,"250"
"1232",28,"2521"
"1233",29,"253"
"1237",22,"258"
"1243",28,"26068"
"1248",27,"265"
"1249",21,"26acr"
"1254",41,"2747"
"1259",44,"27th"
"1261",38,"280"
"1262",25,"2826"
"1263",47,"2842"
"1264",25,"286"
"1266",47,"286bed"
"1267",21,"287"
"1269",26,"28august"
"1270",29,"28th"
"1271",28,"28yearold"
"1272",28,"2928"
"1274",84,"295"
"1275",39,"295pound"
"1277",38,"296"
"1278",75,"297"
"1281",39,"29oct"
"1283",41,"2"
"1285",28,"2bn"
"1286",44,"2centimet"
"1288",57,"2dai"
"1289",26,"2iron"
"1290",71,"2morrow"
"1291",503,"2nd"
"1292",20,"2need"
"1294",30,"2p2"
"1296",22,"2yearold"
"1297",47,"31"
"1300",34,"36"
"1301",24,"3disc"
"1303",26,"335"
"1305",76,"30"
"1306",277,"300"
"1309",26,"3035260806"
"1310",41,"305"
"1311",42,"307"
"1312",22,"309"
"1314",20,"30am"
"1316",275,"30pm"
"1318",112,"30th"
"1319",52,"30year"
"1320",51,"310"
"1321",43,"312"
"1322",31,"3127"
"1323",30,"3130"
"1324",24,"3144461801"
"1325",47,"3145341111"
"1326",24,"315"
"1327",33,"316"
"1328",30,"3160"
"1329",46,"318"
"1330",21,"31yard"
"1331",25,"31yearold"
"1332",34,"3236"
"1334",31,"3225"
"1337",39,"32team"
"1338",52,"330"
"1341",21,"333"
"1346",24,"3419"
"1347",31,"3425"
"1348",52,"345"
"1349",47,"347"
"1350",32,"34th"
"1352",43,"350"
"1356",33,"357"
"1361",31,"3620"
"1362",68,"364"
"1363",20,"365"
"1368",35,"36pm"
"1369",39,"36th"
"1370",34,"3703"
"1372",36,"380"
"1374",41,"3824880"
"1375",41,"383"
"1376",44,"3830"
"1377",39,"3835"
"1378",43,"384"
"1382",82,"38yearold"
"1383",27,"394"
"1391",34,"3foot"
"1392",34,"3ft"
"1397",46,"3pointer"
"1398",433,"3rd"
"1400",24,"410"
"1401",29,"414"
"1402",32,"45th"
"1403",65,"46"
"1405",28,"4h"
"1406",26,"4star"
"1407",42,"4wheel"
"1408",55,"420"
"1409",80,"40"
"1410",246,"400"
"1413",42,"400squarefoot"
"1414",30,"401k"
"1415",42,"401kira"
"1417",29,"4022"
"1420",39,"4037"
"1425",95,"40th"
"1426",30,"40yard"
"1427",20,"410"
"1428",20,"411"
"1431",70,"415"
"1432",39,"4156"
"1433",45,"416"
"1436",21,"420"
"1437",51,"4200"
"1446",31,"4371770"
"1448",28,"440"
"1449",26,"4401"
"1450",21,"4409346217"
"1453",37,"445"
"1454",42,"449"
"1456",21,"450"
"1457",38,"4514"
"1459",43,"4584370"
"1460",61,"45million"
"1461",65,"45th"
"1464",34,"460211"
"1465",26,"4627"
"1467",41,"4645"
"1469",31,"46yearold"
"1471",31,"4763"
"1473",31,"4774"
"1474",31,"4775"
"1476",33,"479"
"1480",44,"4844"
"1483",38,"48pm"
"1486",25,"493514"
"1487",32,"499"
"1488",30,"4999"
"1490",38,"4pm"
"1491",46,"4star"
"1492",261,"4th"
"1498",28,"51"
"1500",40,"53"
"1502",31,"56"
"1504",29,"510"
"1506",38,"52"
"1508",40,"50"
"1510",21,"50hr"
"1511",62,"50"
"1512",758,"500"
"1513",23,"500"
"1516",34,"500plu"
"1517",42,"501c3"
"1519",32,"5035573313"
"1520",38,"5036296350"
"1522",47,"5039466544"
"1525",37,"506"
"1526",30,"50cent"
"1527",89,"50"
"1528",40,"50th"
"1529",24,"510"
"1530",38,"512"
"1531",37,"51625"
"1533",44,"520"
"1536",46,"52f"
"1538",27,"53"
"1539",78,"530"
"1541",44,"5362"
"1543",26,"546"
"1549",48,"5616847331"
"1550",37,"5645296"
"1552",23,"56page"
"1557",20,"582"
"1558",31,"584"
"1562",27,"595"
"1563",41,"5959"
"1565",41,"5bet"
"1566",32,"5for54"
"1567",68,"5pm"
"1568",236,"5th"
"1575",38,"65"
"1577",33,"60"
"1579",281,"600"
"1582",23,"60"
"1583",28,"6173"
"1586",39,"6152484747"
"1594",24,"626"
"1595",46,"6260126"
"1600",32,"6308"
"1601",28,"6332"
"1602",20,"6369228233"
"1605",42,"641"
"1606",26,"6440829"
"1607",22,"645"
"1608",41,"649"
"1612",28,"66477"
"1615",43,"667"
"1618",33,"674"
"1619",42,"6758"
"1620",37,"683"
"1621",68,"6c"
"1623",26,"6foot2"
"1625",46,"6foot5"
"1626",21,"6foot7"
"1629",35,"6pm"
"1630",341,"6th"
"1631",24,"6x6"
"1632",49,"712"
"1634",54,"79pm"
"1636",20,"700"
"1642",113,"70"
"1645",39,"714"
"1646",62,"715"
"1648",46,"7205426105"
"1649",26,"7200"
"1651",32,"7278150"
"1652",24,"72nd"
"1653",97,"730"
"1655",30,"730pm"
"1660",45,"747400"
"1661",45,"747"
"1662",86,"75"
"1663",78,"750"
"1664",20,"755"
"1669",28,"770"
"1670",45,"776"
"1671",21,"7766"
"1672",38,"777"
"1675",45,"7862231654"
"1676",33,"789"
"1680",28,"7inch"
"1683",190,"7pm"
"1684",152,"7th"
"1686",57,"811pm"
"1688",29,"80"
"1689",247,"800"
"1691",27,"801"
"1692",21,"80202"
"1693",33,"80"
"1694",38,"80"
"1697",35,"812011"
"1698",55,"813"
"1700",44,"81595"
"1703",20,"818"
"1706",24,"8212"
"1707",28,"825"
"1711",39,"82nd"
"1713",49,"850"
"1714",31,"854"
"1715",33,"86"
"1718",62,"873"
"1719",58,"8813449"
"1720",67,"888"
"1721",46,"8am"
"1723",32,"8iron"
"1725",120,"8pm"
"1726",49,"8th"
"1734",84,"900"
"1735",22,"90210"
"1739",24,"90²"
"1741",142,"911"
"1742",37,"916"
"1744",48,"930"
"1748",45,"95"
"1751",35,"954"
"1752",28,"97"
"1754",55,"9728999640"
"1758",51,"9993"
"1759",68,"99"
"1761",21,"99lb"
"1764",63,"9am"
"1765",38,"9iron"
"1769",46,""
"1771",58,"a"
"1772",31,"am"
"1773",29,""
"1777",26,"ãearlier"
"1778",39,"ãget"
"1779",41,"ãgo"
"1780",30,"ãgreat"
"1782",34,"ãi"
"1786",52,"ãit"
"1789",39,"ãpersonnel"
"1790",22,"ãpreforeclosur"
"1795",41,"ãthere"
"1797",41,"ãu"
"1801",70,""
"1802",29,""
"1803",74,""
